City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bogale,MM,79.92,scattered clouds,16.2833,95.4,Aung Pin Lel Guest House
9,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,Souillac,MU,75.58,shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Lorengau,PG,84.63,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
23,Rikitea,PF,78.64,light rain,-23.1203,-134.9692,People ThankYou
24,Kaya,BF,86.88,overcast clouds,13.0917,-1.0844,Maison de l'appelé
28,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
31,Butaritari,KI,81.61,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
32,Bambous Virieux,MU,77.22,shower rain,-20.3428,57.7575,Casa Tia Villa
45,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
50,Mareeba,AU,79.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
56,Maragogi,BR,79.16,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
58,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Emerald,AU,77.34,clear sky,-23.5333,148.1667,The Irish Village
62,Atuona,PF,79.56,scattered clouds,-9.8,-139.0333,Villa Enata
68,Bandarbeyla,SO,80.71,scattered clouds,9.4942,50.8122,JABIR HOTEL
71,Maningrida,AU,82.47,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
73,Tupsan,PH,81.0,broken clouds,9.1992,124.7769,Algen's Dive Resort
77,Qeshm,IR,78.69,scattered clouds,26.9581,56.2719,Qeshm Kavan Hotel
79,Touros,BR,79.21,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
81,Bata,GQ,78.66,overcast clouds,1.8639,9.7658,Hotel Elik Melen
83,Kapaa,US,80.58,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
88,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
