City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Bogale,MM,16.2833,95.4,79.92,81,25,4.85,scattered clouds,2022-04-17 00:29:21
1,Coquimbo,CL,-29.9533,-71.3436,57.02,88,20,5.26,few clouds,2022-04-17 00:29:21
2,Ribeira Grande,PT,38.5167,-28.7,60.04,78,10,16.98,clear sky,2022-04-17 00:24:23
3,Lima,PE,-12.0432,-77.0282,64.65,44,0,14.97,clear sky,2022-04-17 00:24:49
4,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,66,75,4.61,broken clouds,2022-04-17 00:29:22
5,Chifeng,CN,42.2683,118.9636,51.85,22,32,10.78,scattered clouds,2022-04-17 00:29:22
6,Germenchuk,RU,43.1857,45.921,44.29,78,10,2.08,clear sky,2022-04-17 00:29:23
7,Bredasdorp,ZA,-34.5322,20.0403,55.98,81,0,6.76,clear sky,2022-04-17 00:29:23
8,Hualmay,PE,-11.0964,-77.6139,67.06,83,93,10.71,overcast clouds,2022-04-17 00:29:23
9,Vaini,TO,-21.2,-175.2,84.36,79,75,8.05,broken clouds,2022-04-17 00:29:24
10,Thompson,CA,55.7435,-97.8558,26.76,36,75,3.44,broken clouds,2022-04-17 00:26:34
11,Hermanus,ZA,-34.4187,19.2345,57.79,79,3,15.35,clear sky,2022-04-17 00:29:24
12,Coihaique,CL,-45.5752,-72.0662,46.35,81,0,4.61,clear sky,2022-04-17 00:29:24
13,Victoria,HK,22.2855,114.1577,72.18,82,100,11.01,overcast clouds,2022-04-17 00:28:11
14,Aklavik,CA,68.2191,-135.0107,14.65,75,17,12.91,few clouds,2022-04-17 00:29:25
15,Souillac,MU,-20.5167,57.5167,75.58,100,75,11.5,shower rain,2022-04-17 00:29:25
16,Punta Arenas,CL,-53.15,-70.9167,46.51,76,40,13.8,scattered clouds,2022-04-17 00:29:25
17,Mar Del Plata,AR,-38.0023,-57.5575,64.09,94,0,11.99,clear sky,2022-04-17 00:27:41
18,Cape Town,ZA,-33.9258,18.4232,60.91,72,0,11.01,clear sky,2022-04-17 00:29:26
19,Lorengau,PG,-2.0226,147.2712,84.63,71,32,5.57,scattered clouds,2022-04-17 00:29:26
20,New Norfolk,AU,-42.7826,147.0587,69.3,66,100,1.01,overcast clouds,2022-04-17 00:29:27
21,Dakar,SN,14.6937,-17.4441,68.13,83,0,6.91,clear sky,2022-04-17 00:27:25
22,Bluff,NZ,-46.6,168.3333,53.8,61,88,6.55,overcast clouds,2022-04-17 00:29:27
23,Rikitea,PF,-23.1203,-134.9692,78.64,70,35,13.56,light rain,2022-04-17 00:29:27
24,Kaya,BF,13.0917,-1.0844,86.88,28,100,6.76,overcast clouds,2022-04-17 00:29:28
25,Hamilton,US,39.1834,-84.5333,56.64,38,0,18.41,clear sky,2022-04-17 00:26:52
26,Yellowknife,CA,62.456,-114.3525,14.56,48,20,6.91,few clouds,2022-04-17 00:28:56
27,Busselton,AU,-33.65,115.3333,59.2,64,22,9.17,few clouds,2022-04-17 00:29:28
28,Avarua,CK,-21.2078,-159.775,84.25,74,40,10.36,scattered clouds,2022-04-17 00:29:29
29,Port Alfred,ZA,-33.5906,26.891,60.19,92,100,10.07,overcast clouds,2022-04-17 00:29:29
30,Hilo,US,19.7297,-155.09,73.27,88,100,10.0,moderate rain,2022-04-17 00:25:12
31,Butaritari,KI,3.0707,172.7902,81.61,77,44,12.37,scattered clouds,2022-04-17 00:29:29
32,Bambous Virieux,MU,-20.3428,57.7575,77.22,100,75,11.5,shower rain,2022-04-17 00:29:30
33,Carazinho,BR,-28.2839,-52.7864,53.38,87,0,9.51,clear sky,2022-04-17 00:29:30
