City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tocache,PE,2022-04-17 13:57:17,-8.1842,-76.5125,75.16,90,53,1.68
1,Champerico,GT,2022-04-17 13:57:17,14.3,-91.9167,83.84,69,16,7.56
2,Margate,GB,2022-04-17 13:57:17,51.3813,1.3862,63.1,72,79,1.01
3,Saint-Philippe,RE,2022-04-17 13:57:18,-21.3585,55.7679,82.22,86,35,10.13
4,Georgetown,MY,2022-04-17 13:54:28,5.4112,100.3354,84.13,83,40,5.01
5,Namatanai,PG,2022-04-17 13:57:18,-3.6667,152.4333,81.05,77,97,9.33
6,Mar Del Plata,AR,2022-04-17 13:57:19,-38.0023,-57.5575,61.88,84,0,6.91
7,Alofi,NU,2022-04-17 13:57:19,-19.0595,-169.9187,73.29,94,64,1.14
8,Arraial Do Cabo,BR,2022-04-17 13:57:19,-22.9661,-42.0278,76.96,61,40,11.5
9,Dikson,RU,2022-04-17 13:57:20,73.5069,80.5464,9.19,92,100,14.7
10,Mahebourg,MU,2022-04-17 13:57:20,-20.4081,57.7,79.25,94,75,5.75
11,Cabo San Lucas,MX,2022-04-17 13:57:20,22.8909,-109.9124,75.51,30,100,3.98
12,Cape Town,ZA,2022-04-17 13:55:16,-33.9258,18.4232,80.11,51,0,11.5
13,Tabuk,PH,2022-04-17 13:57:21,17.4189,121.4443,73.53,91,31,5.03
14,Kaihua,CN,2022-04-17 13:57:21,23.3687,104.28,60.03,93,100,6.02
15,Kaeo,NZ,2022-04-17 13:57:21,-35.1,173.7833,66.33,97,100,18.16
16,Vaini,TO,2022-04-17 13:57:22,-21.2,-175.2,77.16,94,75,3.44
17,Semey,KZ,2022-04-17 13:57:22,50.4111,80.2275,62.82,34,0,4.47
18,Namibe,AO,2022-04-17 13:57:23,-15.1961,12.1522,81.23,61,20,10.36
19,Saint-Augustin,CA,2022-04-17 13:57:23,51.226,-58.6502,33.08,99,100,6.04
20,Talnakh,RU,2022-04-17 13:57:23,69.4865,88.3972,11.21,96,100,9.42
21,Ucluelet,CA,2022-04-17 13:52:29,48.9329,-125.5528,41.09,84,29,7.09
22,Zhanaozen,KZ,2022-04-17 13:57:24,43.3,52.8,67.87,32,79,9.48
23,Tuatapere,NZ,2022-04-17 13:57:24,-46.1333,167.6833,44.13,89,1,3.76
24,Leningradskiy,RU,2022-04-17 13:57:24,69.3833,178.4167,0.28,97,29,3.67
25,Hobart,AU,2022-04-17 13:57:25,-42.8794,147.3294,66.06,72,100,10.36
26,Marzuq,YE,2022-04-17 13:57:25,14.4,46.4667,86.92,30,20,15.99
27,Torbay,CA,2022-04-17 13:53:35,47.6666,-52.7314,52.29,55,100,11.5
28,Provideniya,RU,2022-04-17 13:57:26,64.3833,-173.3,31.6,92,100,19.98
29,Sao Filipe,CV,2022-04-17 13:57:26,14.8961,-24.4956,72.07,77,91,10.51
30,Towada,JP,2022-04-17 13:57:26,40.6127,141.2067,42.21,66,28,5.39
31,Upernavik,GL,2022-04-17 13:57:27,72.7868,-56.1549,-11.29,92,95,14.9
32,Mexico,PH,2022-04-17 13:57:27,15.0646,120.7198,83.91,72,42,3.24
33,Berliste,RO,2022-04-17 13:57:27,44.9867,21.4631,46.18,83,100,4.85
34,Hermanus,ZA,2022-04-17 13:57:28,-34.4187,19.2345,74.8,47,18,15.79
35,Jamestown,US,2022-04-17 13:56:43,42.097,-79.2353,32.02,66,20,12.66
36,Rikitea,PF,2022-04-17 13:57:28,-23.1203,-134.9692,77.9,68,6,11.83
37,Carnarvon,AU,2022-04-17 13:57:28,-24.8667,113.6333,69.87,88,40,10.36
38,Leh,IN,2022-04-17 13:57:29,34.1667,77.5833,44.01,24,61,4.76
39,Salalah,OM,2022-04-17 13:57:29,17.0151,54.0924,84.0,73,2,9.89
40,Busselton,AU,2022-04-17 13:57:29,-33.65,115.3333,55.06,70,12,5.32
41,Mataura,NZ,2022-04-17 13:54:15,-46.1927,168.8643,39.47,96,1,2.24
42,Pisco,PE,2022-04-17 13:57:30,-13.7,-76.2167,64.45,82,62,1.14
43,Bonavista,CA,2022-04-17 13:57:30,48.6499,-53.1147,39.34,71,100,14.76
44,Nikolskoye,RU,2022-04-17 13:57:31,59.7035,30.7861,48.09,47,84,6.15
45,Yulara,AU,2022-04-17 13:57:31,-25.2406,130.9889,73.24,35,0,8.05
46,Takapau,NZ,2022-04-17 13:57:31,-40.0333,176.35,47.73,75,97,5.73
47,Baoying,CN,2022-04-17 13:57:32,33.2292,119.3092,54.0,58,100,6.08
48,Victoria,HK,2022-04-17 13:55:52,22.2855,114.1577,72.25,75,98,10.0
49,Ushuaia,AR,2022-04-17 13:56:39,-54.8,-68.3,47.86,66,40,20.71
50,Puerto Ayora,EC,2022-04-17 13:57:32,-0.7393,-90.3518,76.57,87,98,6.91
51,Aasiaat,GL,2022-04-17 13:57:33,68.7098,-52.8699,7.34,91,100,2.35
52,Bredasdorp,ZA,2022-04-17 13:57:33,-34.5322,20.0403,68.27,49,1,12.19
53,Geraldton,AU,2022-04-17 13:57:33,-28.7667,114.6,63.01,59,9,14.97
54,Saskylakh,RU,2022-04-17 13:57:34,71.9167,114.0833,27.82,96,100,20.42
55,Vila Velha,BR,2022-04-17 13:57:34,-20.3297,-40.2925,82.35,59,0,11.5
56,Vertou,FR,2022-04-17 13:56:54,47.1687,-1.4693,70.05,40,0,3.44
57,Taoudenni,ML,2022-04-17 13:57:34,22.6783,-3.9836,89.76,16,0,15.1
58,Inuvik,CA,2022-04-17 13:57:35,68.3499,-133.7218,11.26,48,40,13.8
59,Bengkulu,ID,2022-04-17 13:57:35,-3.8004,102.2655,80.01,83,35,2.33
60,Punta Arenas,CL,2022-04-17 13:57:35,-53.15,-70.9167,46.51,87,75,4.61
61,Chuy,UY,2022-04-17 13:57:36,-33.6971,-53.4616,70.07,58,68,8.68
62,Bluff,NZ,2022-04-17 13:57:36,-46.6,168.3333,39.79,82,3,6.08
63,Barrow,US,2022-04-17 13:52:46,71.2906,-156.7887,-5.78,84,0,5.75
64,Airai,TL,2022-04-17 13:57:37,-8.9266,125.4092,61.23,94,100,1.43
65,Balabac,PH,2022-04-17 13:57:37,7.9868,117.0645,81.46,79,59,7.83
66,Ponta Delgada,PT,2022-04-17 13:57:37,37.7333,-25.6667,66.92,68,20,16.11
67,Kapaa,US,2022-04-17 13:57:38,22.0752,-159.319,70.12,97,17,1.01
68,Qaanaaq,GL,2022-04-17 13:57:38,77.484,-69.3632,-13.58,70,10,5.7
